State,County,PCT_REDUCED_LUNCH10,PCT_DIABETES_ADULTS10,PCT_OBESE_ADULTS10,FOODINSEC_10_12,PCT_OBESE_CHILD11,PCT_LACCESS_POP10,PCT_LACCESS_CHILD10,PCT_LACCESS_SENIORS10,PCT_LOCLFARM07,FMRKT13,PCT_FMRKT_SNAP13,PCT_FMRKT_WIC13,FMRKT_FRVEG13,PCT_FRMKT_FRVEG13,PCT_FRMKT_ANMLPROD13,FOODHUB12,FARM_TO_SCHOOL,SODATAX_STORES11,GROC12,SNAPS12,WICS12,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_65OLDER10,PCT_18YOUNGER10,POVRATE10,CHILDPOVRATE10,SNAP_PART_RATE10
VA,Wise,5.664913599,13.3,33.6,9.2,14,9.467407862,1.76806591,1.016567435,3.9,3,67,0,3,100,100,0,0,1.5,9,60.91666667,8,92.398437,5.109524,1.136254,0.340152,14.148895,20.761363,22.2,27.5,75
VA,Wythe,7.667658503,11.5,28.8,9.2,14.2,3.993342647,0.830484087,0.929623105,4,1,100,0,1,100,100,0,0,1.5,5,30.83333333,6,94.574996,2.767231,0.957756,0.424149,17.827946,20.899607,15.8,22.9,75
VA,York,5.726167626,9.3,28.2,9.2,,29.45129996,7.00801138,4.557488632,13.3,1,0,0,1,100,100,0,0,1.5,7,44.5,8,74.040694,13.135464,4.417695,4.840829,12.119638,26.390077,5.3,6.8,75
VA,Alexandria,9.609134095,6.4,19.5,9.2,22.1,0,0,0,,4,25,0,3,75,75,0,1,1.5,40,65.66666667,11,53.497278,21.275167,16.09248,5.966449,9.149365,17.125588,9.3,14.2,75
VA,Bedford,8.995983936,12.8,30.1,9.2,16.7,8.673395973,1.276059288,3.227142861,,1,0,0,1,100,100,0,0,1.5,3,12.41666667,1,75.072324,20.009643,2.153648,0.658952,21.488267,20.540019,17.4,27.9,75
VA,Bristol,5.54860242,11.4,29.3,9.2,18.5,28.16451135,6.573390284,4.777202282,,0,,,,,,0,0,1.5,5,31.66666667,5,90.26633,5.606953,1.239137,0.678441,18.957107,20.784973,21.5,33.9,75
VA,Buena Vista,10.01788909,10.1,29.1,9.2,18.3,93.79773125,20.04440068,15.19652998,,1,0,0,0,0,0,0,0,1.5,2,5,1,89.954887,5.18797,1.548872,0.43609,16.06015,21.413534,15.5,22.6,75
VA,Charlottesville,5.975583637,7.2,28.2,9.2,15.4,2.652009255,0.410228199,0.203646145,,3,67,0,3,100,100,1,0,1.5,25,48.25,3,66.307073,19.192639,5.113283,6.343876,9.239793,14.891317,20.2,22.7,75
VA,Chesapeake,5.469457583,9.7,28.5,9.2,14.4,22.41181821,6.129361529,2.065761577,11,2,0,0,1,50,50,1,0,1.5,32,151,22,60.416545,29.343546,4.36796,2.830218,10.41632,25.88599,8,11.4,75
VA,Clifton Forge,,,,,,,,,,0,,,,,,0,0,,,,,,,,,,,,,
VA,Colonial Heights,5.775180474,11.2,27.3,9.2,10.7,18.9504363,4.377669824,3.260374933,,0,,,,,,0,0,1.5,3,23.08333333,3,80.523807,9.947734,3.871116,3.273792,19.631268,22.33071,9.4,15.1,75
VA,Covington,9.081632653,11.5,29.1,9.2,13.2,19.32576418,4.564865858,3.564505276,,1,0,0,1,100,100,0,0,1.5,1,11,1,83.123637,12.4308,1.543365,0.553598,18.721691,21.254823,15.9,24.4,75
VA,Danville,6.343516209,12.4,33.2,9.2,11.9,14.85291459,3.326627771,2.893411705,,1,100,0,1,100,100,0,0,1.5,14,83.5,8,46.700732,48.136105,2.89165,0.915109,19.080246,21.51202,26.6,41.7,75
VA,Emporia,7.236842105,13.1,33.6,9.2,20.9,1.711090731,0.325712165,0.36159561,,1,0,0,1,100,100,0,0,1.5,3,20.41666667,3,31.179349,62.173106,4.420449,0.725494,16.905686,25.763455,22.8,31.5,75
VA,Fairfax,6.256921373,8.8,25.1,9.2,12.9,0,0,0,,0,,,,,,0,0,1.5,16,26.91666667,4,61.373809,4.564591,15.758919,15.080877,13.68491,20.3501,7.1,8.1,75
